idx,name,alt,width
0,MA0021.1,Dof3,6
1,MA0053.1,MNB1A,5
2,MA0054.1,myb.Ph3,9
3,MA0064.1,PBF,5
4,MA0096.1,bZIP910,7
5,MA0097.1,bZIP911,12
6,MA0123.1,abi4,10
7,MA0128.1,EmBP-1,8
8,MA0129.1,TGA1A,7
9,MA0559.1,PI,14
10,MA0567.1,ERF1B,8
11,MA0574.1,MYB15,13
12,MA0590.1,LFY,19
13,MA0935.1,NAC025,8
14,MA0936.1,NAC046,8
15,MA0937.1,NAC055,8
16,MA0939.1,NAC079,8
17,MA0940.1,AP1,13
18,MA0946.1,ARR11,8
19,MA0947.1,ARR14,8
20,MA0950.1,ATHB-12,8
21,MA0951.1,ATHB-16,8
22,MA0952.1,ATHB-51,8
23,MA0967.1,BZIP60,8
24,MA0972.1,CCA1,8
25,MA0975.1,CRF2,8
26,MA0977.1,DOF2.5,8
27,MA0978.1,DREB1E,8
28,MA0986.1,DREB2C,8
29,MA1012.1,AGL27,14
30,MA1013.1,GATA10,8
31,MA1014.1,GATA11,8
32,MA1020.1,GT-1,8
33,MA1028.1,KAN4,8
34,MA1033.1,OJ1058_F05.8,8
35,MA1034.1,Os05g0497200,8
36,MA1036.1,MYB111,8
37,MA1039.1,MYB4,8
38,MA1040.1,MYB46,8
39,MA1041.1,MYB55,8
40,MA1042.1,MYB59,8
41,MA1046.1,NTL9,9
42,MA1048.1,ERF018,8
43,MA1051.1,RAP2-3,8
44,MA1053.1,ERF109,8
45,MA1075.1,WRKY12,8
46,MA1080.1,WRKY23,8
47,MA1084.1,WRKY38,8
48,MA1091.1,WRKY62,8
49,MA1161.1,TSO1,15
50,MA1162.1,TCX2,15
51,MA1169.1,MYB105,13
52,MA1188.1,At3g11280,14
53,MA1199.1,AGL16,15
54,MA1203.1,AGL63,15
55,MA1204.1,AGL13,18
56,MA1205.1,AGL6,19
57,MA1221.1,RAP2-6,15
58,MA1222.1,ERF014,15
59,MA1225.1,ERF5,15
60,MA1235.1,AIL7,11
61,MA1274.1,DOF3.6,21
62,MA1309.1,WRKY3,11
63,MA1324.1,GATA20,8
64,MA1328.1,ZHD9,15
65,MA1335.1,TGA4,11
66,MA1339.1,BZIP43,12
67,MA1348.1,TGA9,11
68,MA1350.1,BZIP42,12
69,MA1352.1,TRP1,21
70,MA1354.1,AT4G12670,29
71,MA1356.1,TRP2,21
72,MA1379.1,SOL1,15
73,MA1380.1,TCX6,15
74,MA1384.1,PHL7,13
75,MA1402.1,BPC6,21
76,MA1403.1,BPC5,30
77,MA1404.1,BPC1,24
78,MA1732.1,E2FD,15
79,MA1686.1,ARF13,14
80,MA1687.1,ARF14,16
81,MA1734.1,AT1G19040,16
82,MA1738.1,ATMYB31,15
83,MA1741.1,BRN2,16
84,MA1746.1,BZIP69,11
85,MA1749.1,E2FC,15
86,MA1750.1,E2FE,15
87,MA1783.1,NAC005,19
88,MA1784.1,NAC011,21
89,MA1788.1,NAC054,19
90,MA1789.1,NAC071,15
91,MA1790.1,NAC073,15
92,MA1791.1,NAC087,19
93,MA1792.1,NAC098,16
94,MA1796.1,RAP2-7,8
95,MA1800.1,TEM1,8
96,MA1818.1,Zm00001d052229,10
97,MA1007.1,PHYPADRAFT_173530,8
98,MA1023.1,PHYPADRAFT_28324,8
99,MA2381.1,e_gw1.170.52.1,4
100,MA2382.1,e_gw1.209.40.1,6
101,MA2383.1,e_gw1.392.16.1,5
102,MA2384.1,estExt_Genewise1.C_2060077,7
103,MA2385.1,estExt_gwp_gw1.C_220046,4
104,MA2386.1,estExt_gwp_gw1.C_550163,7
105,MA2393.1,PHYPA_008731,7
106,MA2394.1,PpDof6,4
107,MA2395.1,PHYPA_011264,8
108,MA1008.2,PHYPADRAFT_182268,7
109,MA1010.2,PHYPADRAFT_64121,8
110,MA0988.2,PHYPADRAFT_143875,6
111,MA1011.2,PHYPADRAFT_72483,6
112,MA1021.2,PHYPADRAFT_48267,7
113,MA0987.2,PHYPADRAFT_140773,4
114,MA0989.2,PHYPADRAFT_153324,5
115,MA1022.2,PHYPADRAFT_38837,4
116,MA2055.1,PK00315.1,8
117,MA2056.1,PK01144.1,4
118,MA2057.1,PK01630.1,7
119,MA2058.1,PK03929.1,5
120,MA2059.1,PK05432.1,6
121,MA2060.1,PK05451.1,8
122,MA2061.1,PK06517.1,7
123,MA2062.1,PK07031.1,4
124,MA2063.1,PK07402.1,6
125,MA2064.1,PK07858.1,7
126,MA2065.1,PK08602.1,8
127,MA2066.1,PK09021.1,8
128,MA2067.1,PK09702.1,8
129,MA2068.1,PK10344.1,8
130,MA2069.1,PK10955.1,5
131,MA2070.1,PK15337.1,4
132,MA2071.1,PK15505.1,8
133,MA2072.1,PK16335.1,8
134,MA2073.1,PK16340.1,4
135,MA2074.1,PK17878.1,8
136,MA2075.1,PK18009.1,7
137,MA2076.1,PK18401.1,8
138,MA2077.1,PK18474.1,7
139,MA2078.1,PK19363.1,8
140,MA2079.1,PK19717.1,9
141,MA2080.1,PK20225.1,6
142,MA2081.1,PK20317.1,5
143,MA2082.1,PK20392.1,6
144,MA2083.1,PK21166.1,8
145,MA2084.1,PK23009.1,5
146,MA2085.1,PK23763.1,5
147,MA2086.1,PK23964.1,7
148,MA2087.1,PK24205.1,8
149,MA2088.1,PK24580.1,7
150,MA2089.1,PK25870.1,7
151,MA2090.1,PK26523.1,5
152,MA2091.1,PK27109.1,8
153,MA2092.1,PK27149.1,8
154,MA2353.1,PK02532.1,8
155,MA2354.1,PK06182.1,8
156,MA2355.1,PK06791.1,6
157,MA2356.1,PK20555.1,5
158,MA2357.1,PK21687.1,7
159,MA2358.1,PK22320.1,6
160,MA2359.1,PK23829.1,7
161,MA2360.1,PK28565.1,8
162,MA2406.1,PK03576.1,7
163,MA2407.1,PK24978.1,7
164,MA0082.2,squamosa,13
165,MA2364.1,VIT_15s0048g01150,8
166,MA2365.1,VIT_17s0000g10420,8
167,MA0955.2,POPTR_0002s00440g,6
168,MA0553.1,SMZ,8
169,MA0561.1,PIF4,8
170,MA0562.1,PIF5,8
171,MA0566.1,MYC2,8
172,MA0578.1,SPL8,16
173,MA0580.1,DYT1,14
174,MA0932.1,AHL12,8
175,MA0933.1,AHL20,8
176,MA0934.1,AHL25,8
177,MA0957.1,BHLH3,8
178,MA0958.1,BHLH13,8
179,MA0959.1,AIB,8
180,MA0960.1,BHLH104,10
181,MA0963.1,bHLH78,8
182,MA1009.1,ARF3,8
183,MA1035.1,TCP4,8
184,MA1066.1,TCP23,8
185,MA1067.1,TCP5,8
186,MA1202.1,AGL55,6
187,MA1242.1,DREB2F,11
188,MA1290.1,TCP17,11
189,MA1291.1,TCP7,11
190,MA1363.1,LRL2,15
191,MA1373.1,GAF1,15
192,MA1378.1,AIL6,15
193,MA1760.1,HSFA6A,13
194,MA1797.1,RAV2,8
195,MA2103.1,AT4G09450,6
196,MA2104.1,IDD11,12
197,MA2342.1,URI,6
198,MA2343.1,MYB3R3,8
199,MA2344.1,REV,14
200,MA2348.1,IDD6,16
201,MA2352.1,PC-MYB1,9
202,MA2363.1,TOE2,8
203,MA2366.1,VOZ2,4
204,MA2367.1,WIP5,13
205,MA2368.1,WRKY51,6
206,MA2369.1,ZHD14,11
207,MA2370.1,MBD2,5
208,MA2371.1,MYB31,15
209,MA2372.1,AZF1,9
210,MA2373.1,AZF2,4
211,MA2374.1,AHL13,8
212,MA2375.1,BMY2,11
