feature,region,top_count,top_rate,base_rate,fold_enrichment,odds_ratio,p,q
21,intergenic,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
94,exon,30,0.3,0.20001333422228149,1.4999,1.7213564213564214,0.011021326025011728,0.05055654139913637
106,intron,27,0.27,0.19994666311087406,1.3503601200400135,1.484305573480337,0.05507181597448971,0.21758221047884546
161,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
261,intergenic,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
274,intron,39,0.39,0.19994666311087406,1.9505201733911304,2.5787605228179,8.926696742093838e-06,6.081383737331864e-05
326,intergenic,36,0.36,0.20001333422228149,1.79988,2.2649924089068825,0.00013970174627850175,0.0008518399163323278
376,utr3,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
433,exon,50,0.5,0.20001333422228149,2.499833333333333,4.050508474576271,1.780509867634239e-11,1.8419067596216265e-10
472,intron,31,0.31,0.19994666311087406,1.5504134711570523,1.8060324622055548,0.0058820592251719265,0.028697768069575257
522,utr5,46,0.46,0.20001333422228149,2.299846666666667,3.4446074374984326,3.6735515006603255e-09,3.2799566970181476e-08
712,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
756,utr5,50,0.5,0.20001333422228149,2.499833333333333,4.050508474576271,1.780509867634239e-11,1.8419067596216265e-10
793,intron,40,0.4,0.19994666311087406,2.0005335111703904,2.690098006083136,3.2986704006314407e-06,2.3431546017844236e-05
813,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
860,intron,34,0.34,0.19994666311087406,1.7004534844948318,2.073463130461444,0.0007037780328701493,0.004008479600370941
870,intergenic,54,0.54,0.20001333422228149,2.6998200000000003,4.762994775524661,4.591602157658862e-14,5.645412488924831e-13
