sequence_id,species,chrom,split,gc,held_out
TAIR10.dna.toplevel_1_28334096_28335119_-,arabidopsis,1,train,0.3310546875,False
TAIR10.dna.toplevel_1_25432730_25433753_-,arabidopsis,1,train,0.35546875,False
TAIR10.dna.toplevel_1_1358431_1359454_-,arabidopsis,1,train,0.3798828125,False
TAIR10.dna.toplevel_1_17155533_17156556_-,arabidopsis,1,train,0.375,False
TAIR10.dna.toplevel_1_13587335_13588358_-,arabidopsis,1,train,0.2705078125,False
TAIR10.dna.toplevel_1_15991941_15992964_-,arabidopsis,1,train,0.3662109375,False
TAIR10.dna.toplevel_1_19575053_19576076_+,arabidopsis,1,train,0.337890625,False
TAIR10.dna.toplevel_1_16934481_16935504_+,arabidopsis,1,train,0.3115234375,False
TAIR10.dna.toplevel_1_9456909_9457932_+,arabidopsis,1,train,0.46875,False
TAIR10.dna.toplevel_1_25360581_25361604_+,arabidopsis,1,train,0.380859375,False
TAIR10.dna.toplevel_1_20749021_20750044_-,arabidopsis,1,train,0.3271484375,False
TAIR10.dna.toplevel_1_17869871_17870894_+,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_10406826_10407849_+,arabidopsis,1,train,0.3857421875,False
TAIR10.dna.toplevel_1_24489090_24490113_+,arabidopsis,1,train,0.26953125,False
TAIR10.dna.toplevel_1_30160009_30161032_-,arabidopsis,1,train,0.3916015625,False
TAIR10.dna.toplevel_1_15842481_15843504_+,arabidopsis,1,train,0.4326171875,False
TAIR10.dna.toplevel_1_11871268_11872291_-,arabidopsis,1,train,0.3828125,False
TAIR10.dna.toplevel_1_10609801_10610824_+,arabidopsis,1,train,0.3251953125,False
TAIR10.dna.toplevel_1_18539619_18540642_-,arabidopsis,1,train,0.2705078125,False
TAIR10.dna.toplevel_1_14854325_14855348_-,arabidopsis,1,train,0.462890625,False
TAIR10.dna.toplevel_1_2089757_2090780_+,arabidopsis,1,train,0.4580078125,False
